username,cheating,cpl_1,cpl_2,cpl_3,cpl_4,cpl_5,cpl_6,cpl_7,cpl_8,cpl_9,cpl_10,cpl_11,cpl_12,cpl_13,cpl_14,cpl_15,cpl_16,cpl_17,cpl_18,cpl_19,cpl_20
troc7,1,500.0,3.0,23.0,477.0,20.0,96.0,52.0,0.0,31.0,115.0,22.0,0.0,88.0,40.0,29.0,89.0,9.0,170.0,0.0,42.0
saragosachess,0,13.0,25.0,23.0,26.0,0.0,272.0,0.0,7.0,3.0,23.0,151.0,294.0,16.0,91.0,45.0,28.0,41.0,2.0,23.0,33.0
powerfu-iran,0,2.0,76.0,0.0,16.0,3.0,0.0,8.0,0.0,11.0,0.0,30.0,3.0,7.0,11.0,0.0,20.0,0.0,4.0,25.0,10.0
darknessiscame,0,14.0,3.0,29.0,0.0,21.0,4.0,23.0,16.0,35.0,11.0,82.0,111.0,99.0,9.0,70.0,0.0,46.0,12.0,0.0,0.0
thejamster,0,53.0,17.0,54.0,15.0,54.0,1.0,44.0,23.0,8.0,21.0,70.0,13.0,0.0,0.0,18.0,194.0,0.0,500.0,0.0,0.0
laurab02,1,113.0,51.0,11.0,27.0,123.0,28.0,28.0,0.0,0.0,0.0,25.0,0.0,0.0,91.0,24.0,40.0,113.0,0.0,0.0,25.0
drjelic,0,76.0,21.0,348.0,23.0,29.0,44.0,0.0,0.0,90.0,0.0,0.0,213.0,0.0,0.0,18.0,13.0,29.0,26.0,157.0,88.0
tomalaquestuya,0,35.0,128.0,0.0,0.0,19.0,16.0,9.0,29.0,4.0,0.0,0.0,6.0,37.0,12.0,0.0,2.0,27.0,0.0,29.0,11.0
monkeydelouffy,1,46.0,7.0,21.0,15.0,76.0,50.0,44.0,17.0,0.0,10.0,0.0,10.0,500.0,5.0,38.0,87.0,0.0,309.0,0.0,189.0
puti,1,0.0,0.0,9.0,16.0,15.0,41.0,24.0,0.0,215.0,6.0,0.0,0.0,0.0,33.0,35.0,0.0,0.0,3.0,0.0,0.0
