username,cheating,cpl_1,cpl_2,cpl_3,cpl_4,cpl_5,cpl_6,cpl_7,cpl_8,cpl_9,cpl_10,cpl_11,cpl_12,cpl_13,cpl_14,cpl_15,cpl_16,cpl_17,cpl_18,cpl_19,cpl_20
hosseinsiahpoosh,1,88.0,0.0,0.0,0.0,20.0,0.0,124.0,2.0,0.0,500.0,7.0,0.0,24.0,17.0,0.0,24.0,0.0,0.0,0.0,0.0
aznyuu,0,0.0,126.0,177.0,136.0,106.0,126.0,0.0,0.0,0.0,30.0,77.0,42.0,0.0,13.0,0.0,120.0,0.0,15.0,0.0,65.0
powerfu-iran,0,0.0,74.0,58.0,13.0,31.0,33.0,0.0,10.0,0.0,38.0,340.0,500.0,66.0,387.0,353.0,0.0,500.0,500.0,500.0,281.0
talconph,0,52.0,9.0,171.0,2.0,84.0,45.0,0.0,0.0,0.0,0.0,39.0,21.0,0.0,4.0,0.0,0.0,0.0,103.0,43.0,6.0
netanya,0,283.0,204.0,0.0,12.0,8.0,0.0,0.0,69.0,0.0,2.0,0.0,21.0,0.0,0.0,162.0,112.0,13.0,252.0,0.0,0.0
mekota87,1,40.0,15.0,8.0,0.0,0.0,2.0,12.0,73.0,9.0,19.0,33.0,0.0,0.0,0.0,125.0,78.0,57.0,165.0,0.0,20.0
wbdn,1,99.0,59.0,25.0,3.0,12.0,5.0,0.0,144.0,106.0,100.0,5.0,0.0,24.0,42.0,114.0,0.0,46.0,69.0,84.0,77.0
herculesrachengan,1,6.0,0.0,0.0,0.0,0.0,29.0,0.0,97.0,31.0,34.0,0.0,31.0,47.0,24.0,66.0,107.0,0.0,146.0,0.0,0.0
effdaking,0,252.0,500.0,442.0,35.0,5.0,182.0,84.0,27.0,0.0,31.0,49.0,0.0,224.0,262.0,500.0,149.0,0.0,311.0,18.0,0.0
manni24,0,127.0,22.0,112.0,27.0,500.0,12.0,50.0,61.0,0.0,12.0,71.0,0.0,42.0,84.0,133.0,309.0,74.0,76.0,0.0,0.0
decentish,0,36.0,57.0,96.0,16.0,9.0,0.0,48.0,73.0,41.0,87.0,72.0,91.0,0.0,15.0,0.0,13.0,5.0,20.0,2.0,52.0
diegoantonio123,1,0.0,10.0,0.0,13.0,0.0,15.0,25.0,47.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,22.0,14.0,0.0,86.0,0.0
masongm,1,3.0,19.0,29.0,2.0,0.0,80.0,72.0,0.0,0.0,65.0,19.0,1.0,67.0,137.0,1.0,0.0,14.0,4.0,0.0,0.0
mika00003,1,0.0,26.0,8.0,21.0,0.0,7.0,0.0,10.0,51.0,34.0,0.0,12.0,23.0,13.0,30.0,0.0,47.0,0.0,0.0,0.0
masongm,1,9.0,64.0,0.0,137.0,59.0,88.0,111.0,98.0,122.0,156.0,65.0,25.0,243.0,54.0,4.0,338.0,13.0,8.0,30.0,81.0
damm1t,1,0.0,0.0,0.0,6.0,13.0,0.0,0.0,0.0,19.0,117.0,73.0,363.0,2.0,0.0,0.0,31.0,1.0,0.0,134.0,0.0
bupalo,0,0.0,7.0,26.0,0.0,2.0,0.0,18.0,3.0,102.0,251.0,180.0,263.0,1.0,79.0,0.0,500.0,0.0,17.0,0.0,27.0
anax_makis,0,29.0,66.0,143.0,5.0,60.0,12.0,0.0,62.0,15.0,2.0,53.0,41.0,105.0,47.0,42.0,11.0,0.0,26.0,21.0,84.0
masteraa,1,112.0,64.0,132.0,3.0,0.0,0.0,0.0,94.0,0.0,27.0,0.0,175.0,27.0,0.0,61.0,57.0,46.0,22.0,0.0,16.0
poppydeloop,0,0.0,1.0,1.0,119.0,54.0,91.0,0.0,36.0,0.0,0.0,22.0,8.0,12.0,7.0,81.0,71.0,15.0,2.0,0.0,0.0
ozymanidas3301,1,22.0,56.0,95.0,79.0,39.0,56.0,30.0,62.0,88.0,209.0,0.0,500.0,9.0,0.0,0.0,30.0,138.0,180.0,0.0,20.0
zukso,1,10.0,221.0,53.0,0.0,163.0,99.0,103.0,32.0,22.0,0.0,19.0,4.0,44.0,90.0,54.0,13.0,0.0,125.0,0.0,0.0
loblique,0,0.0,2.0,0.0,0.0,90.0,0.0,0.0,73.0,17.0,72.0,52.0,3.0,27.0,3.0,184.0,12.0,35.0,18.0,0.0,0.0
masterofchessz,1,0.0,18.0,0.0,90.0,76.0,22.0,0.0,0.0,0.0,6.0,11.0,23.0,0.0,0.0,0.0,1.0,16.0,51.0,38.0,0.0
scouting4reds,0,38.0,3.0,52.0,68.0,0.0,5.0,1.0,87.0,13.0,93.0,3.0,0.0,12.0,20.0,74.0,0.0,27.0,58.0,27.0,20.0
undefinedlimit,1,4.0,0.0,9.0,0.0,6.0,0.0,0.0,0.0,0.0,7.0,9.0,0.0,0.0,4.0,36.0,0.0,59.0,0.0,0.0,0.0
one_pilots,1,0.0,0.0,279.0,0.0,126.0,63.0,12.0,59.0,49.0,309.0,239.0,0.0,82.0,6.0,18.0,0.0,44.0,41.0,0.0,21.0
robinio,0,29.0,189.0,0.0,19.0,0.0,0.0,62.0,26.0,0.0,18.0,50.0,69.0,102.0,4.0,124.0,15.0,0.0,10.0,1.0,48.0
lingsumi,0,36.0,45.0,0.0,0.0,7.0,0.0,26.0,32.0,19.0,31.0,11.0,5.0,0.0,49.0,1.0,111.0,6.0,226.0,380.0,0.0
luminoux,1,113.0,51.0,0.0,0.0,7.0,8.0,0.0,82.0,40.0,18.0,155.0,5.0,284.0,22.0,157.0,51.0,48.0,0.0,0.0,0.0
the_rev53,0,17.0,71.0,0.0,86.0,124.0,0.0,0.0,0.0,34.0,4.0,92.0,91.0,0.0,18.0,84.0,0.0,87.0,72.0,0.0,0.0
rasheed21,0,1.0,0.0,14.0,199.0,83.0,35.0,500.0,0.0,34.0,35.0,30.0,91.0,107.0,0.0,0.0,0.0,49.0,9.0,4.0,0.0
alexreznik,0,0.0,377.0,0.0,69.0,43.0,500.0,42.0,49.0,10.0,491.0,217.0,291.0,109.0,184.0,381.0,0.0,13.0,500.0,0.0,0.0
lingsumi,0,84.0,0.0,10.0,7.0,152.0,157.0,42.0,17.0,9.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,416.0,0.0
mms1970,1,9.0,19.0,36.0,5.0,20.0,80.0,75.0,135.0,87.0,0.0,19.0,54.0,14.0,27.0,115.0,20.0,4.0,7.0,80.0,113.0
mojoe0815,1,0.0,0.0,114.0,239.0,331.0,0.0,161.0,0.0,49.0,201.0,0.0,86.0,39.0,187.0,111.0,0.0,123.0,63.0,75.0,19.0
luckrei,1,8.0,0.0,0.0,0.0,13.0,13.0,5.0,86.0,54.0,6.0,0.0,4.0,42.0,127.0,30.0,13.0,47.0,0.0,0.0,0.0
ed_2016,0,0.0,76.0,5.0,65.0,42.0,66.0,97.0,40.0,0.0,0.0,0.0,23.0,39.0,84.0,19.0,32.0,50.0,0.0,0.0,4.0
mightytower,0,0.0,13.0,10.0,26.0,32.0,23.0,0.0,21.0,18.0,56.0,4.0,0.0,0.0,0.0,21.0,0.0,24.0,8.0,167.0,64.0
edmon221,1,184.0,109.0,323.0,30.0,9.0,0.0,58.0,22.0,6.0,0.0,0.0,0.0,0.0,5.0,0.0,32.0,268.0,0.0,176.0,104.0
fpg,0,54.0,0.0,66.0,7.0,188.0,58.0,13.0,0.0,0.0,8.0,25.0,39.0,8.0,66.0,0.0,76.0,0.0,5.0,0.0,49.0
mms1970,1,0.0,13.0,51.0,17.0,127.0,4.0,0.0,153.0,119.0,5.0,22.0,0.0,10.0,74.0,5.0,9.0,71.0,38.0,71.0,2.0
azzarrak,0,0.0,1.0,0.0,65.0,43.0,0.0,50.0,72.0,18.0,40.0,45.0,17.0,37.0,0.0,0.0,11.0,18.0,0.0,24.0,44.0
birjand2016,0,38.0,5.0,25.0,10.0,116.0,70.0,12.0,231.0,11.0,249.0,228.0,246.0,500.0,64.0,0.0,0.0,1.0,1.0,4.0,5.0
granna,1,45.0,125.0,1.0,9.0,0.0,65.0,0.0,2.0,58.0,72.0,74.0,0.0,28.0,17.0,8.0,18.0,0.0,170.0,0.0,0.0
coronaherrera,1,0.0,24.0,17.0,9.0,0.0,35.0,71.0,19.0,25.0,90.0,0.0,20.0,29.0,9.0,35.0,0.0,88.0,0.0,5.0,0.0
wbdn,1,35.0,9.0,0.0,19.0,3.0,422.0,3.0,121.0,174.0,0.0,141.0,7.0,70.0,71.0,500.0,2.0,2.0,29.0,46.0,0.0
john_tan,1,63.0,28.0,0.0,8.0,4.0,148.0,0.0,0.0,14.0,7.0,10.0,0.0,1.0,74.0,1.0,49.0,17.0,47.0,60.0,0.0
zakiev_maksim32,0,38.0,61.0,3.0,48.0,215.0,40.0,71.0,59.0,99.0,0.0,9.0,0.0,0.0,0.0,0.0,21.0,6.0,29.0,0.0,29.0
cuteknight,1,17.0,30.0,7.0,4.0,0.0,8.0,0.0,0.0,9.0,0.0,5.0,57.0,52.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0
ramanpetrov,0,257.0,0.0,162.0,160.0,0.0,0.0,3.0,28.0,46.0,100.0,0.0,0.0,12.0,0.0,9.0,0.0,140.0,0.0,18.0,78.0
frhomme56,1,16.0,11.0,92.0,1.0,261.0,0.0,0.0,20.0,9.0,35.0,22.0,0.0,0.0,5.0,22.0,13.0,30.0,500.0,8.0,0.0
simex93,1,7.0,25.0,9.0,0.0,0.0,35.0,0.0,34.0,60.0,17.0,0.0,16.0,0.0,35.0,54.0,13.0,20.0,0.0,9.0,0.0
manni24,0,176.0,0.0,126.0,13.0,164.0,83.0,462.0,500.0,0.0,43.0,342.0,0.0,25.0,56.0,0.0,500.0,424.0,9.0,179.0,10.0
yukyo,0,42.0,97.0,0.0,78.0,86.0,5.0,0.0,4.0,0.0,84.0,79.0,0.0,75.0,12.0,0.0,174.0,0.0,91.0,213.0,0.0
vip7ra,1,0.0,59.0,44.0,127.0,0.0,90.0,175.0,186.0,39.0,24.0,56.0,26.0,10.0,17.0,39.0,0.0,36.0,17.0,2.0,18.0
xzurii,0,2.0,82.0,479.0,370.0,305.0,105.0,0.0,376.0,218.0,240.0,14.0,6.0,165.0,103.0,77.0,319.0,58.0,50.0,133.0,72.0
lingsumi,0,17.0,0.0,11.0,6.0,26.0,9.0,4.0,61.0,0.0,0.0,0.0,22.0,118.0,41.0,29.0,0.0,0.0,42.0,50.0,6.0
anax_makis,0,45.0,6.0,18.0,5.0,0.0,6.0,19.0,87.0,0.0,5.0,13.0,26.0,31.0,46.0,51.0,14.0,101.0,44.0,0.0,86.0
mrkit,0,26.0,5.0,25.0,4.0,0.0,164.0,24.0,0.0,8.0,13.0,2.0,18.0,0.0,27.0,0.0,500.0,278.0,9.0,398.0,0.0
mikegriffin,0,43.0,31.0,0.0,7.0,0.0,29.0,30.0,5.0,19.0,77.0,0.0,0.0,371.0,0.0,135.0,86.0,15.0,0.0,36.0,40.0
jason13,1,2.0,0.0,4.0,0.0,0.0,23.0,0.0,23.0,0.0,0.0,71.0,33.0,51.0,13.0,0.0,0.0,6.0,0.0,54.0,0.0
justonemistake,1,81.0,25.0,21.0,21.0,14.0,113.0,12.0,363.0,0.0,19.0,37.0,0.0,0.0,34.0,45.0,6.0,9.0,0.0,25.0,0.0
daniel3415,1,6.0,4.0,0.0,7.0,9.0,27.0,0.0,21.0,397.0,462.0,500.0,187.0,15.0,472.0,14.0,0.0,28.0,2.0,2.0,0.0
tvas,0,0.0,2.0,46.0,8.0,34.0,399.0,72.0,0.0,14.0,95.0,0.0,48.0,8.0,8.0,27.0,78.0,32.0,0.0,0.0,19.0
marko19,0,481.0,5.0,38.0,7.0,0.0,121.0,359.0,9.0,0.0,0.0,56.0,40.0,0.0,160.0,0.0,229.0,0.0,0.0,7.0,6.0
sabdopalon,1,10.0,5.0,32.0,9.0,5.0,68.0,41.0,0.0,0.0,60.0,56.0,58.0,120.0,39.0,95.0,0.0,10.0,3.0,71.0,0.0
belc,0,34.0,51.0,0.0,19.0,0.0,0.0,180.0,10.0,38.0,173.0,16.0,171.0,0.0,119.0,0.0,392.0,171.0,174.0,0.0,366.0
blundermaster6,1,31.0,0.0,0.0,72.0,28.0,2.0,0.0,28.0,9.0,109.0,1.0,0.0,11.0,17.0,70.0,0.0,0.0,0.0,0.0,40.0
ennriko2,1,4.0,31.0,24.0,23.0,22.0,20.0,1.0,16.0,52.0,21.0,16.0,5.0,0.0,10.0,30.0,0.0,10.0,4.0,0.0,20.0
iosilva07,1,8.0,12.0,0.0,3.0,2.0,0.0,0.0,13.0,13.0,42.0,20.0,187.0,187.0,0.0,41.0,0.0,21.0,38.0,0.0,0.0
granna,1,198.0,0.0,83.0,149.0,205.0,10.0,8.0,17.0,74.0,0.0,500.0,500.0,7.0,0.0,0.0,500.0,72.0,106.0,23.0,86.0
anzujaamu,0,0.0,58.0,1.0,0.0,204.0,129.0,0.0,16.0,68.0,25.0,20.0,62.0,61.0,47.0,34.0,9.0,1.0,7.0,13.0,31.0
antoniosba94,1,6.0,0.0,28.0,2.0,6.0,2.0,0.0,3.0,3.0,11.0,0.0,23.0,5.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0
testopening,0,16.0,230.0,1.0,8.0,0.0,72.0,0.0,32.0,2.0,0.0,20.0,8.0,5.0,74.0,8.0,7.0,29.0,82.0,0.0,64.0
adyali,0,24.0,0.0,9.0,8.0,53.0,0.0,44.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,8.0,0.0,500.0,16.0,0.0
ai-84-ios,0,0.0,2.0,0.0,99.0,77.0,31.0,0.0,16.0,38.0,0.0,54.0,129.0,166.0,106.0,50.0,4.0,9.0,12.0,7.0,0.0
latebloomer,0,20.0,64.0,78.0,16.0,6.0,500.0,0.0,6.0,157.0,3.0,0.0,26.0,80.0,18.0,0.0,22.0,0.0,0.0,39.0,84.0
gladennnn,1,3.0,38.0,0.0,0.0,0.0,13.0,18.0,53.0,59.0,36.0,5.0,0.0,88.0,0.0,0.0,8.0,119.0,0.0,0.0,0.0
yaho-o,1,0.0,49.0,0.0,39.0,39.0,7.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,11.0,21.0,0.0,0.0
sundoroclasic,0,0.0,0.0,6.0,0.0,21.0,199.0,0.0,3.0,0.0,37.0,31.0,0.0,58.0,29.0,0.0,13.0,0.0,0.0,232.0,119.0
vantage,1,83.0,66.0,22.0,66.0,7.0,21.0,125.0,11.0,27.0,64.0,59.0,12.0,0.0,0.0,0.0,22.0,0.0,0.0,500.0,0.0
greey,1,0.0,0.0,1.0,4.0,4.0,0.0,19.0,2.0,8.0,17.0,0.0,7.0,17.0,14.0,19.0,0.0,2.0,6.0,0.0,0.0
thebestchess10,1,17.0,0.0,50.0,6.0,57.0,32.0,0.0,0.0,0.0,0.0,0.0,269.0,0.0,0.0,271.0,0.0,0.0,171.0,197.0,15.0
mikegriffin,0,73.0,29.0,0.0,13.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,23.0,1.0,6.0,25.0,44.0,24.0,40.0,27.0,67.0
lkchess,0,0.0,36.0,82.0,37.0,317.0,77.0,3.0,100.0,10.0,21.0,27.0,0.0,0.0,4.0,30.0,28.0,26.0,89.0,259.0,3.0
ssakash,0,56.0,1.0,94.0,1.0,68.0,0.0,55.0,52.0,282.0,111.0,11.0,21.0,42.0,216.0,42.0,38.0,35.0,0.0,5.0,12.0
bilou01,1,12.0,32.0,27.0,0.0,12.0,26.0,91.0,1.0,191.0,0.0,19.0,18.0,80.0,90.0,98.0,0.0,0.0,132.0,0.0,0.0
rasheed21,0,14.0,44.0,19.0,12.0,6.0,143.0,72.0,77.0,18.0,6.0,15.0,15.0,0.0,21.0,0.0,0.0,36.0,0.0,72.0,6.0
hnb,0,63.0,19.0,40.0,0.0,57.0,26.0,197.0,18.0,50.0,266.0,88.0,4.0,0.0,23.0,3.0,95.0,109.0,24.0,5.0,15.0
probisvet,1,0.0,34.0,14.0,7.0,24.0,27.0,18.0,77.0,62.0,5.0,76.0,9.0,12.0,0.0,5.0,3.0,8.0,0.0,3.0,0.0
cubanochessfire,1,7.0,0.0,15.0,0.0,5.0,8.0,0.0,15.0,259.0,50.0,0.0,17.0,40.0,5.0,0.0,11.0,2.0,0.0,3.0,9.0
izolany,0,53.0,29.0,34.0,9.0,27.0,0.0,121.0,18.0,0.0,0.0,0.0,17.0,20.0,25.0,24.0,17.0,15.0,26.0,0.0,53.0
monkeydelouffy,1,0.0,2.0,3.0,8.0,11.0,0.0,0.0,6.0,0.0,19.0,22.0,5.0,0.0,26.0,4.0,12.0,29.0,0.0,0.0,8.0
franciscoolivares,0,4.0,0.0,90.0,0.0,0.0,0.0,1.0,56.0,56.0,4.0,21.0,30.0,2.0,98.0,6.0,2.0,0.0,3.0,30.0,0.0
natirem93,1,282.0,0.0,8.0,34.0,43.0,35.0,28.0,0.0,42.0,24.0,91.0,21.0,8.0,33.0,39.0,2.0,0.0,0.0,3.0,44.0
rhythmrug,1,10.0,37.0,102.0,0.0,69.0,72.0,39.0,7.0,75.0,96.0,11.0,13.0,0.0,0.0,6.0,0.0,0.0,85.0,98.0,0.0
telbat,1,5.0,4.0,0.0,0.0,0.0,27.0,35.0,3.0,9.0,32.0,44.0,0.0,15.0,1.0,0.0,54.0,15.0,0.0,12.0,0.0
profz,0,22.0,16.0,39.0,12.0,57.0,5.0,5.0,49.0,0.0,10.0,80.0,73.0,89.0,0.0,15.0,0.0,0.0,49.0,17.0,38.0
chessmate149,0,0.0,6.0,0.0,28.0,17.0,59.0,102.0,0.0,0.0,29.0,0.0,68.0,0.0,16.0,10.0,5.0,12.0,85.0,124.0,0.0
samad_110,0,0.0,0.0,67.0,0.0,19.0,0.0,52.0,0.0,83.0,37.0,0.0,23.0,0.0,4.0,0.0,5.0,104.0,26.0,33.0,0.0
mrbaligon,1,0.0,55.0,14.0,18.0,11.0,56.0,147.0,84.0,10.0,1.0,0.0,25.0,60.0,232.0,3.0,66.0,7.0,24.0,142.0,58.0
gromobix,0,259.0,37.0,76.0,0.0,0.0,0.0,22.0,8.0,0.0,0.0,37.0,112.0,34.0,102.0,20.0,79.0,0.0,16.0,26.0,55.0
anax_makis,0,117.0,133.0,80.0,74.0,0.0,34.0,9.0,14.0,5.0,0.0,0.0,0.0,0.0,81.0,0.0,129.0,59.0,0.0,0.0,0.0
m-the-greatiix,1,64.0,0.0,0.0,0.0,500.0,0.0,15.0,1.0,6.0,0.0,0.0,41.0,49.0,6.0,0.0,0.0,19.0,0.0,0.0,31.0
huyevo,1,9.0,76.0,0.0,0.0,11.0,67.0,0.0,143.0,0.0,132.0,0.0,0.0,10.0,67.0,0.0,0.0,43.0,160.0,234.0,0.0
alecsin,1,54.0,22.0,122.0,0.0,65.0,0.0,86.0,119.0,161.0,0.0,0.0,0.0,3.0,0.0,0.0,19.0,0.0,0.0,62.0,34.0
anzujaamu,0,66.0,0.0,0.0,292.0,4.0,4.0,33.0,4.0,0.0,91.0,131.0,83.0,0.0,0.0,6.0,0.0,5.0,3.0,0.0,0.0
batofgotham,1,12.0,11.0,13.0,71.0,54.0,26.0,45.0,20.0,37.0,10.0,39.0,69.0,0.0,20.0,35.0,0.0,0.0,13.0,0.0,0.0
chriskoou,1,0.0,301.0,15.0,16.0,0.0,28.0,0.0,4.0,2.0,153.0,38.0,326.0,279.0,57.0,42.0,26.0,0.0,1.0,14.0,17.0
wdb1999,1,31.0,35.0,20.0,20.0,0.0,2.0,0.0,12.0,17.0,2.0,0.0,0.0,23.0,14.0,0.0,64.0,0.0,0.0,3.0,27.0
chess_advicer,1,97.0,0.0,144.0,312.0,151.0,0.0,119.0,109.0,62.0,122.0,125.0,0.0,25.0,12.0,206.0,165.0,0.0,0.0,17.0,0.0
one_pilots,1,5.0,14.0,7.0,0.0,18.0,7.0,31.0,0.0,0.0,0.0,22.0,71.0,90.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
hukto,0,0.0,94.0,36.0,8.0,0.0,46.0,0.0,15.0,20.0,44.0,0.0,0.0,14.0,0.0,39.0,12.0,1.0,386.0,2.0,0.0
ennriko2,1,0.0,0.0,0.0,7.0,0.0,22.0,41.0,17.0,6.0,141.0,0.0,120.0,0.0,74.0,17.0,0.0,0.0,26.0,3.0,0.0
laurab02,1,0.0,0.0,25.0,6.0,4.0,16.0,15.0,2.0,24.0,43.0,83.0,25.0,37.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0
kerozen,1,0.0,0.0,2.0,14.0,27.0,71.0,0.0,0.0,0.0,10.0,94.0,0.0,2.0,8.0,16.0,68.0,177.0,445.0,500.0,0.0
rinkur,0,20.0,32.0,32.0,0.0,4.0,84.0,51.0,22.0,27.0,193.0,1.0,38.0,83.0,112.0,327.0,4.0,143.0,1.0,57.0,18.0
natirem93,1,11.0,16.0,0.0,29.0,28.0,27.0,0.0,21.0,33.0,0.0,0.0,0.0,7.0,0.0,30.0,0.0,0.0,0.0,38.0,0.0
cocumhehe,0,0.0,22.0,0.0,45.0,5.0,22.0,70.0,100.0,46.0,18.0,11.0,20.0,54.0,0.0,16.0,0.0,39.0,25.0,66.0,18.0
muhidinfocic,0,47.0,10.0,171.0,40.0,186.0,0.0,0.0,147.0,102.0,247.0,106.0,47.0,0.0,36.0,144.0,0.0,5.0,6.0,40.0,56.0
netanya,0,85.0,11.0,0.0,6.0,24.0,3.0,15.0,0.0,124.0,75.0,46.0,173.0,165.0,7.0,0.0,7.0,26.0,44.0,17.0,154.0
shadgo34,1,22.0,0.0,32.0,26.0,92.0,0.0,0.0,12.0,0.0,41.0,8.0,26.0,0.0,46.0,9.0,0.0,257.0,2.0,239.0,158.0
bilou01,1,0.0,0.0,52.0,7.0,14.0,3.0,0.0,224.0,132.0,24.0,146.0,155.0,65.0,28.0,22.0,15.0,0.0,0.0,32.0,20.0
ivan-gorlovski,0,47.0,61.0,22.0,0.0,60.0,3.0,0.0,0.0,0.0,0.0,21.0,14.0,3.0,10.0,0.0,105.0,14.0,0.0,24.0,53.0
antoshanagibator2004,1,1.0,0.0,0.0,0.0,27.0,11.0,5.0,0.0,0.0,0.0,36.0,2.0,0.0,37.0,0.0,6.0,0.0,0.0,0.0,20.0
powerfu-iran,0,10.0,0.0,0.0,0.0,0.0,3.0,11.0,6.0,42.0,6.0,0.0,10.0,0.0,2.0,5.0,22.0,16.0,67.0,62.0,0.0
koblandu,0,0.0,10.0,255.0,0.0,23.0,203.0,41.0,0.0,51.0,50.0,109.0,0.0,0.0,105.0,0.0,60.0,0.0,0.0,43.0,6.0
cungkuo,1,15.0,8.0,7.0,8.0,21.0,0.0,16.0,16.0,0.0,11.0,0.0,44.0,0.0,1.0,0.0,6.0,21.0,0.0,0.0,0.0
lanca00,1,18.0,0.0,187.0,8.0,3.0,131.0,29.0,6.0,0.0,6.0,5.0,0.0,23.0,26.0,0.0,12.0,7.0,0.0,13.0,30.0
chocolatine,0,113.0,3.0,17.0,72.0,10.0,12.0,28.0,112.0,0.0,34.0,0.0,61.0,107.0,31.0,92.0,40.0,178.0,17.0,90.0,29.0
drsali,1,20.0,12.0,6.0,43.0,42.0,80.0,39.0,25.0,0.0,103.0,0.0,0.0,17.0,229.0,36.0,11.0,151.0,6.0,1.0,0.0
playtrue,0,13.0,56.0,0.0,84.0,12.0,26.0,0.0,0.0,5.0,175.0,12.0,68.0,46.0,0.0,0.0,99.0,20.0,0.0,124.0,286.0
capricornwon,0,23.0,49.0,118.0,235.0,10.0,12.0,116.0,0.0,0.0,17.0,0.0,29.0,32.0,22.0,43.0,4.0,2.0,26.0,29.0,55.0
cvxbnm,1,5.0,10.0,0.0,7.0,0.0,50.0,0.0,0.0,49.0,40.0,19.0,0.0,9.0,105.0,54.0,46.0,10.0,27.0,0.0,21.0
sauwmaximo,0,4.0,84.0,129.0,3.0,0.0,6.0,52.0,30.0,282.0,193.0,0.0,21.0,46.0,36.0,25.0,0.0,46.0,163.0,159.0,61.0
luminoux,1,0.0,85.0,125.0,84.0,68.0,33.0,4.0,500.0,52.0,23.0,9.0,15.0,173.0,0.0,0.0,500.0,111.0,500.0,438.0,0.0
gasponi,0,138.0,181.0,9.0,176.0,0.0,96.0,19.0,0.0,30.0,0.0,132.0,48.0,140.0,2.0,0.0,61.0,0.0,500.0,0.0,0.0
nnnorf,1,9.0,35.0,0.0,3.0,4.0,0.0,0.0,70.0,58.0,44.0,0.0,13.0,13.0,5.0,0.0,60.0,3.0,4.0,10.0,1.0
zhu4ok69,1,227.0,151.0,133.0,214.0,10.0,140.0,46.0,0.0,0.0,0.0,0.0,36.0,412.0,0.0,0.0,84.0,0.0,63.0,54.0,15.0
pysch,1,17.0,54.0,0.0,11.0,0.0,0.0,14.0,3.0,44.0,8.0,32.0,6.0,24.0,0.0,3.0,45.0,1.0,0.0,76.0,0.0
antoniosba94,1,1.0,6.0,0.0,18.0,36.0,21.0,4.0,46.0,42.0,0.0,0.0,31.0,32.0,500.0,500.0,0.0,0.0,50.0,29.0,25.0
blisteringheat,0,55.0,430.0,0.0,13.0,18.0,39.0,4.0,86.0,301.0,0.0,12.0,0.0,32.0,55.0,51.0,36.0,0.0,63.0,153.0,127.0
michellopezabreu,0,24.0,0.0,47.0,0.0,0.0,7.0,1.0,5.0,25.0,99.0,7.0,322.0,52.0,5.0,23.0,0.0,0.0,138.0,95.0,176.0
zivojin,0,33.0,10.0,0.0,63.0,25.0,103.0,4.0,3.0,48.0,9.0,0.0,0.0,0.0,4.0,0.0,143.0,21.0,52.0,26.0,0.0
sir88,0,52.0,86.0,21.0,37.0,50.0,25.0,88.0,17.0,132.0,6.0,5.0,9.0,160.0,52.0,150.0,87.0,500.0,0.0,0.0,0.0
luckrei,1,0.0,30.0,30.0,3.0,15.0,77.0,4.0,70.0,52.0,12.0,0.0,8.0,0.0,30.0,6.0,108.0,111.0,66.0,0.0,53.0
cavallnegre,1,132.0,0.0,42.0,4.0,30.0,16.0,2.0,286.0,0.0,3.0,15.0,53.0,0.0,111.0,27.0,81.0,23.0,139.0,28.0,28.0
greey,1,6.0,0.0,0.0,0.0,2.0,62.0,0.0,0.0,6.0,19.0,1.0,1.0,15.0,0.0,3.0,9.0,4.0,0.0,0.0,0.0
ventshirov,1,12.0,52.0,7.0,44.0,58.0,107.0,0.0,76.0,0.0,6.0,0.0,0.0,23.0,28.0,328.0,86.0,17.0,0.0,42.0,0.0
trek1900,0,3.0,33.0,15.0,0.0,2.0,22.0,0.0,0.0,65.0,98.0,2.0,15.0,68.0,83.0,88.0,6.0,0.0,0.0,0.0,0.0
nist,1,24.0,107.0,14.0,24.0,0.0,0.0,0.0,74.0,0.0,9.0,35.0,0.0,7.0,22.0,24.0,88.0,9.0,37.0,30.0,59.0
gladennnn,1,0.0,0.0,25.0,6.0,0.0,14.0,0.0,17.0,41.0,0.0,10.0,0.0,0.0,0.0,21.0,0.0,0.0,38.0,27.0,11.0
iosilva07,1,153.0,0.0,110.0,72.0,39.0,2.0,51.0,6.0,2.0,0.0,19.0,0.0,33.0,12.0,157.0,69.0,8.0,199.0,0.0,34.0
dheolineker,1,444.0,0.0,15.0,118.0,51.0,0.0,21.0,124.0,0.0,46.0,60.0,0.0,83.0,0.0,122.0,14.0,0.0,21.0,0.0,12.0
belowski,0,21.0,13.0,59.0,115.0,9.0,12.0,0.0,117.0,156.0,163.0,7.0,20.0,20.0,4.0,5.0,3.0,0.0,7.0,19.0,37.0
sahmatt,1,59.0,0.0,76.0,0.0,5.0,1.0,51.0,0.0,0.0,0.0,34.0,26.0,0.0,10.0,0.0,133.0,151.0,85.0,67.0,5.0
kutuzov_95,1,0.0,5.0,0.0,12.0,12.0,7.0,71.0,0.0,69.0,0.0,32.0,20.0,205.0,23.0,29.0,0.0,0.0,28.0,38.0,0.0
